iter	RMSE
0	14.89728154
1	14.52739513
2	14.14027607
3	13.83399872
4	13.49976396
5	13.17332473
6	12.89643476
7	12.67776153
8	12.36442558
9	12.09235259
10	11.82912122
11	11.55112434
12	11.29226598
13	11.07444114
14	10.87124951
15	10.64395325
16	10.43965647
17	10.21862874
18	10.00800448
19	9.822683782
20	9.66014604
21	9.501951819
22	9.355293542
23	9.199026772
24	9.029277805
25	8.876633068
26	8.744365527
27	8.604584661
28	8.467355127
29	8.339259513
30	8.207715901
31	8.08742983
32	7.976307975
33	7.864326315
34	7.768858265
35	7.673498935
36	7.574560192
37	7.485392488
38	7.399438243
39	7.314804956
40	7.236995112
41	7.160310668
42	7.083718996
43	7.0122961
44	6.935492715
45	6.872773883
46	6.80647088
47	6.738347527
48	6.689468901
49	6.633571367
50	6.573807307
51	6.523571611
52	6.483348389
53	6.431898776
54	6.378354431
55	6.332675264
56	6.288940054
57	6.247542021
58	6.211032301
59	6.178039242
60	6.136888572
61	6.101128916
62	6.062591813
63	6.034751938
64	6.003704075
65	5.974712451
66	5.941130629
67	5.920065477
68	5.897518971
69	5.868513616
70	5.846825178
71	5.816672451
72	5.796290499
73	5.778667969
74	5.759968841
75	5.731883996
76	5.70824993
77	5.687351572
78	5.67164715
79	5.651372202
80	5.628919345
81	5.609187623
82	5.590833061
83	5.56838895
84	5.55078742
85	5.536142114
86	5.521876657
87	5.512009071
88	5.49706761
89	5.485823462
90	5.47018282
91	5.453980771
92	5.441046844
93	5.428284617
94	5.41464652
95	5.402033209
96	5.397688908
97	5.384266849
98	5.373327819
99	5.364119693
100	5.35488745
101	5.342556051
102	5.329101108
103	5.320315811
104	5.311928624
105	5.300948191
106	5.290369124
107	5.280841588
108	5.267467128
109	5.261223918
110	5.253731056
111	5.244722991
112	5.233035765
113	5.223850286
114	5.211116611
115	5.20718297
116	5.201504819
117	5.18966296
118	5.180175108
119	5.167051976
120	5.160987092
121	5.154884978
122	5.148146663
123	5.140070794
124	5.13331597
125	5.125373927
126	5.119687918
127	5.113021233
128	5.107118256
129	5.101660096
130	5.097914346
131	5.091521881
132	5.083311699
133	5.080967053
134	5.072950186
135	5.067606333
136	5.06266954
137	5.053715832
138	5.045513794
139	5.037805474
140	5.032900403
141	5.027771516
142	5.023814495
143	5.017410802
144	5.016137206
145	5.010932681
146	5.006233411
147	4.998469243
148	4.991895791
149	4.987229375
150	4.982610876
151	4.97553713
152	4.970111236
153	4.967932714
154	4.961407067
155	4.956608694
156	4.953971528
157	4.948210442
158	4.942431723
159	4.938995128
160	4.931294894
161	4.925778112
162	4.922780385
163	4.916957925
164	4.912540635
165	4.908920049
166	4.908392102
167	4.905136722
168	4.898983829
169	4.895941791
170	4.891474758
171	4.885970304
172	4.882390564
173	4.877400933
174	4.874954215
175	4.872553298
176	4.867769155
177	4.863016195
178	4.859232493
179	4.855177294
180	4.851693785
181	4.847617458
182	4.843207655
183	4.83907078
184	4.832210938
185	4.828169991
186	4.826074473
187	4.819556012
188	4.816251438
189	4.812028098
190	4.807114836
191	4.804268193
192	4.798994959
193	4.795681243
194	4.792188676
195	4.790246011
196	4.788433415
197	4.785448957
198	4.780219989
199	4.775216342
200	4.770125275
201	4.763528716
202	4.760607209
203	4.754921765
204	4.748268166
205	4.746324569
206	4.743624287
207	4.740649998
208	4.737572816
209	4.731904515
210	4.729585819
211	4.725208538
212	4.722711099
213	4.720323236
214	4.717887807
215	4.71420368
216	4.709680833
217	4.705994418
218	4.699959524
219	4.696351071
220	4.693121504
221	4.690698809
222	4.686284845
223	4.681064955
224	4.677639037
225	4.67610374
226	4.671650128
227	4.668158591
228	4.664459485
229	4.663569946
230	4.659651105
231	4.655172493
232	4.651604885
233	4.649547309
234	4.647763068
